с/т 69426|11.189 6723 ['сфæлынддзысты', 'дегустацимæ",', 'эстерсунды', 'постытӕ.', 'историимӕ"', 'раздæхтысты', 'сталинградаг,', 'ахастыл', 'бӕстыхӕйттӕн', 'хæстимæ']
х/б 7|0.001 7 ['хӕхбӕсты', 7, 'шахбазов', 'къахбавæрд', 'хохбæсты', 'шахбулатовы', 'зӕхбын']
н/с/м 7|0.001 6 ['консенсунсмӕ', 'балансмæ.', 7, 'балансмӕ.', 'сеансмæ",', 'балансмæ']
в/д/м 7|0.001 7 ['фæлывдмийы', 7, 'тӕвдӕй-тӕвдмӕ.', 'скуывдмӕ.', 'аивдмӕ', 'аивдмæ', 'скуывдмӕ']
с/къ/р 7|0.001 6 ['скърипкъӕдзӕгъдӕг', 7, 'скърипкӕдзӕгъдӕг', 'скърипкæйæдзæгъдæг', 'скърипкъæдзæгъдджыты', 'скърипкæдзæгъдæг']
дж/т 7|0.001 6 ['коттеджтæ', 7, 'коттеджты', 'коттеджтæ.', 'коттеджтӕ,', 'колледжты']
х/с/н 7|0.001 5 ['æхснадæмон', 7, 'æхснырсæгæй', 'æхснырсæг', 'ӕхсныфтӕй']
с/ш 7|0.001 7 ['(сша),', 7, '"ясшаг",', '"дюсш",', '"высшая', 'сумасшедшего"-йы', '"ясшаг".']
р/н/г 7|0.001 7 ['тырнгæйæ', 'тырнгӕйӕ', 7, 'уырнгæ', 'тырнгæйæ,', '"уырнгæ', 'уырнгӕ']
дз/гъ 7|0.001 4 ['куыдзгъуз', 'дзгъойты', 'куыдзгъуыз', 7]
р/ц/т 7|0.001 7 ['фæстауæрцтæ', 'фӕстауӕрцтӕ', 'фӕсауӕрцтӕ,', 7, 'фæстауæрцтæ.', 'старцтæ,', 'фӕсауӕрцтӕ']
н/т/хъ 7|0.001 7 ['зардиантхъарийы', 'зардиантхъаримæ', 'зардиантхъары.', 7, 'зардиантхъары', 'зардиантхъары,', 'ӕнтхъирӕнтӕ']
р/д/к 7|0.001 6 ['æмбырдкæнынад', 'къордкæд', 7, 'æмбырдкæнынад,', 'ӕмбырдкӕныны', 'æмбырдкæнынады']
н/с/ф 7|0.001 4 ['трансферы', 'трансферон', 'трансфер', 7]
к/с/т/т 7|0.001 4 ['тексттӕ', 'тексттæ', 'тексттимæ', 7]
ц/х/ф 7|0.001 3 ['(цхф)', 'цхф-ы', 7]
дз/р 7|0.001 5 [7, 'гадзрахат', 'гадзрахатдзинад', 'гадзрахатæй', 'гадзрахатдзинадыл,']
м/к/р/т/ч 7|0.001 4 ['мкртчян.', 'мкртчян:', 'мкртчян', 7]
м/в/д 7|0.001 4 ['мвд)', 'мвд', 'умвд', 7]
в/т/р 7|0.001 3 ['"завтра', 'ивановтранскам', 7]
ц/л 7|0.001 4 ['вацлав', 'вацлава', 'вроцлавы', 7]
т/н/т 7|0.001 3 ['тнт', 'тнт-ы', 7]
н/т/ц 7|0.001 2 ['презентци', 7]
н/д/ш 6|0.001 6 ['ландшафты,', 6, 'ландшафт,', 'ландшафты', 'ландшафтыл', 'ландшафт']
р/с/т/р 6|0.001 6 ['«севкавэлеваторстрой»', '"дорстройсервис"-ы', 6, '"дорстройсервис".', '"дорстройсервис",', '"дорстройсервис"-ӕй']
н/г/к 6|0.001 7 [6, 'æввонгкæнын",', 'ифтонгкӕнынадимӕ', 'ифтонгкӕнынадӕн', 'ленгкӕнӕн', 'ифтонгкӕныны', 'æввонгкæнынад']
ф/к/п 6|0.001 4 ['уфкп,', 'уфкп-йы', 'уфкп', 6]
р/р/м 6|0.001 5 [6, 'мехинизмты(иррм)', 'мехинизмты(иррм)форматы', 'иррм-йы', 'иррм-ы']
н/чъ 6|0.001 6 ['ныххуынчъытӕ', 'бырынчъытæ,', 6, 'ныххуынчъытæ', 'хуынчъытæ', 'хъуынчъытӕ']
м/л/м 6|0.001 3 ['кремлмæ', 'кремлмӕ', 6]
к/с/п/р 6|0.001 6 ['"спорт-экспресс"-ы', 6, '«спорт-экспресс»', 'экспрессионизм', 'экспрессионизмы', 'экспресс.']
д/ш 6|0.001 6 ['подшиваловы', 6, '"шарикоподшипник"-ы.', 'фельдшерон-акушерон', 'сумасшедшего"-йы', 'фельдшерæй']
р/в/т 6|0.001 6 ['уӕлӕрвтӕм', 6, 'резервтæ,', 'нервтæ', 'нервты', '"уæлæрвты"']
н/с/к/м 6|0.001 5 ['минскмæ', 'луганскмæ', 6, 'луганскмӕ', '"минскметропроект"-ы']
т/к/р 6|0.001 5 ['открыто', 6, 'открытость', 'айрияноткрытие', '"открытие']
цъ/р 6|0.001 4 ['църуйы', 'църуйаг', 'църу,', 6]
н/дз/м 6|0.001 4 ['фондзминутон', 'фондзмæйдзыд', 'фондзминон', 6]
тъ/р 6|0.001 3 ['джитъри,', 'отъреуы', 6]
н/дз/дз 6|0.001 3 ['ӕрцауындздзыстӕм', 'чындздзон', 6]
ф/т/с 6|0.001 5 ['фтс-мӕ', 'фтс:', 6, 'фтс-йы', 'фтс']
с/т/д/д 6|0.001 3 ['æрмæстддæр', 'растддӕр', 6]
н/ц/л 6|0.001 6 [6, 'концлагеры.', 'концлагеры', 'концлагеры,', 'концлагерæй,', 'концлагерты']
с/м/с 6|0.001 5 [6, 'смс', 'смс-номер', 'смс-тӕ', 'смс-хъӕлӕскӕнынад,']
с/т/ф 6|0.001 7 ['цӕстфӕлдахӕджы', 'цӕстфӕныкъуылдон', 'инвестфорумы', 6, 'цæстфæливæджы', 'хæстфæрæзтæ', 'цæстфæлиуджытæ']
с/ц/п 6|0.001 5 [6, 'сцп-ӕн', 'сцп', 'сцп-ӕй', '"сцп"']
д/п/р 6|0.001 4 ['кодпресс-служба', 'медпрепарат', 6, 'кондадпресс-служба']
к/г/б 6|0.001 3 ['пресс-службӕйы.кгб', 6, 'кгб']
й/к/т 6|0.001 3 ['лайкты', 6, 'лайктæ']
р/г/дж 5|0.001 3 ['санкт-петербургджы', 'маргджын', 5]
ш/р 5|0.001 5 [5, 'машрутыл', 'шрифт', 'шромайы', 'шрифтæй.']
м/б/л/т 5|0.001 6 ['ансамблты', 5, 'ансамблтæ', 'ансамблтæ.', 'ансамблтӕ', 'ансамблтӕ.']
ц/с/л 5|0.001 3 [5, 'спецслужбӕты', 'спецслужбӕтӕ']
к/л/м 5|0.001 4 ['спектаклмӕ', 'циклмæ', 5, 'спектаклмӕ?']
к/п 5|0.001 6 [5, 'ӕкп(б)', 'демьянчукпæэф-ы', 'блокпосты', 'экпертизӕйы', 'экпертизӕтӕ']
н/ц/м 5|0.001 6 ['санэпидстанцмӕ', 5, 'францмӕ', 'санэпидемстанцмӕ', 'станцмæ', 'гидроэлектростанцмӕ,']
р/г/в 5|0.001 5 [5, 'цхинвал-икъорта-ленингор-ларгвис-ахмадж', 'маргвелашвилиимæ', 'ларгви', 'цхинвал-икъорта-ленингор-ларгвис-ахмадж.']
н/к/к 5|0.001 6 [5, '"ленккӕнджыты', 'ленккæнджыты', 'ленккæнджытæ', 'ленккӕнджытӕм', 'ленккӕнынӕй']
т/т/г 5|0.001 5 ['фæлхаттгонд",-', 'æхситтгæнæн', 5, 'хаттгай-иу', 'фæлхаттгонд.']
р/з/т/т 5|0.001 6 [5, 'зингивæрзттæ', 'ӕмбӕрзттӕ', 'зынгивæрзттимæ.', 'зингивӕрзтты', 'зынгивӕрзтты']
х/с/т/г 5|0.001 6 ['ӕрцахстгонд', 5, 'арæхстгай', 'фæдзæхстгонд', 'арӕхстгай".', 'тадтаеварӕхстгай,']
н/н/т 5|0.001 5 [5, 'бӕрӕггӕнӕннтӕ', 'каннты.', 'гуннтæ.', 'каннты']
л/л/л 5|0.001 5 ['сывӕлллӕттӕ', 'колллектив,', 5, 'сывæлллæттæн', 'ахъелллаугӕнӕн']
р/х/т 5|0.001 6 ['патриархтӕн.', 5, 'сырхтырысайаг', 'иерархтæм', 'олигархтӕм', 'сырхтырысайон']
с/с/м 5|0.001 5 ['"донбассмӕ', 5, 'донбассмæ', 'мастер-классмӕ', 'процессмæ']
н/гъ 5|0.001 6 ['тæнгъæд', 5, 'тӕнгъӕдтӕ,', 'тӕнгъӕд', 'донгъӕд', 'зæрингъуыз']
н/тъ 5|0.001 5 [5, 'лентъойы', 'тинтъичъийӕ', '"коммерсантъ', 'тъонтъобет,']
к/к/з 5|0.001 2 [5, 'ккз']
д/т/дз 5|0.001 4 ['æрсидтдзысты', 'æрбадтдзысты', 5, 'расидтдзысты']
р/т/г 5|0.001 5 [5, 'мыртгӕ.', 'артгæнæнтæ.', 'артгæнæнты', 'артгӕнӕнтӕ.']
ф/з 5|0.001 6 ['(фзæпиу).', 5, 'фзӕпи-йы', 'фзӕпи-йы,', 'фзæпиу-йы', 'ӕрмдзӕфзонджыты']
л/ц/м 5|0.001 4 ['балцмӕ', 'балцмæ.', 'балцмæ', 5]
р/п/с 5|0.001 2 [5, '"терпсихора']
дз/в 5|0.001 4 ['адзвистауы', 'адзвийы', 5, 'адзви']
б/с/к 5|0.001 5 [5, '"борисоглебск-2",', '"арабская', 'витебскы', '"карибское']
л/л/т 5|0.001 4 ['баллтӕ,', 5, 'баллтæ', 'мадзӕллтӕ']
з/д/н 5|0.001 4 ['концерту-празднику".', '"звездная', 5, '"звездные']
с/с/н 5|0.001 6 ['"одноклассники"', 5, '"одноклассники"-мæ', '"классный', 'одноклассники.', '"несноссные']
н/г/дз 5|0.001 6 ['ифтонгдзинадыл', 5, 'мӕнгдзинадыл', 'æвзонгдзинад"-ы', 'мæнгдзинады', 'ифтонгдзинад,']
р/дз/хъ 5|0.001 4 ['æрдзхъахъхъæныны', 'ӕрдзхъахъхъӕнынады', 5, 'æрдзхъахъхъæнæн']
ф/м/с 5|0.001 6 [5, 'фмсу,', 'фмсу-йы,', 'фмс', '(фмсу)', 'фмсу-йы']
ц/ц/ц 5|0.001 3 ['фыцццаг', 'дыцццæджы', 5]
ч/х 5|0.001 4 ['сачхерейы', 5, 'тарасевичхуссар', 'астапковичхуссарирыстойнаг']
к/б/р 5|0.001 3 ['"кбр', 'кбр-йы', 5]
р/гъ/ц 5|0.001 5 ['аргъцухӕй', 5, 'аргъцухæй,', 'æргъцухтæ', 'аргъцухæй']
р/м/къ 5|0.001 5 ['æрмкъухтӕй,', 'æрмкъухтæ', 5, 'æрмкъухтӕ,', 'ӕрмкъухтӕ']
х/с/т/т 5|0.001 5 ['дзырдарӕхстты', 5, 'sms-фӕдзӕхсттӕ,', 'фӕдзӕхсттӕм', 'фӕдзӕхстты']
п/п/л 5|0.001 5 ['грэпплингӕй', 5, 'грэпплингы', 'грэпплингӕй,', 'грэпплер']
ч/с 5|0.001 3 ['чсиаты', 5, 'давид.чсиаты']
ф/т/т 5|0.001 5 [5, 'ифттонгарзыл,', 'ифттонгарз', 'лифттӕ', 'кафттæ.']
ч/ж 5|0.001 3 ['чжао', 5, 'чжао.']
д/с/т/в 5|0.001 4 ['"последствия"', '"последствия"-йы', 'постпредства', 5]
л/к/н 5|0.001 4 ['"столкновение"-йы', 'столкновение', 5, '"столкновение"']
ч/ш 5|0.001 4 ['"лучшая', '"лучший', 5, '"лучшие']
в/хъ 5|0.001 4 ['хасиевхъотайты', 'ковалевхъӕбысӕйхӕцӕджы', 5, 'бибиловхъайтарты']
в/с/т 5|0.001 5 [5, 'ковалевстыр', 'ӕргӕвстой', 'австалиаг', 'аргæвстой']
с/з 5|0.001 6 ['сзары".', '‘сзадис,', 5, 'сзындысты', 'сзыгъуыммæ', 'фæсзымæг']
л/ш 5|0.001 4 ['уолш', 'волшебная', 5, '"волшебная']
хъ/х 5|0.001 6 ['"барадхъахъхæнæг', 5, 'арӕнхъахъхӕнджытӕ', 'бахъахъхӕдтой', 'хъахъхæндзысты', 'хъахъхæнынады']
н/с/г 5|0.001 2 [5, 'финансгонд']
х/к/р 5|0.001 2 [5, 'хкр-йы']
н/м/х/м 5|0.001 3 ['айриянмхм', 'айриянмхм-ы', 5]
б/г 5|0.001 4 ['абгарян.', 'бганбайы', 5, 'бганба,']
ч/б 5|0.001 5 [5, 'амичбаалани', 'астапковичбибылты', 'амичбацӕк:', 'амичбабанымады']
н/д/ш/п 5|0.001 4 ['эндшпиль', 'miyagi&эндшпиль",', 5, 'эндшпилы,']
п/ш 4|0.001 5 ['багапш.', 'багапшы', 'пшихачева.', 4, 'сиапшах']
ц/к/п 4|0.001 3 ['цкпа-йы', '(цкпа)', 4]
к/х 4|0.001 5 [4, 'кривобокхуссарирыстойнаг', 'бекхан', 'фӕныкхуыз', 'вакханали']
к/с/г 4|0.001 4 ['æнæксгæйæ,', 'эксгумацийы', 4, 'таксгӕнджыты']
д/ч 4|0.001 5 [4, 'дч', '(дч)', 'дудченко.', 'генподрядчик']
р/з/хъ 4|0.001 3 ['хæрзхъæддзинад.', 4, 'хæрзхъæд']
т/р/дз 4|0.001 4 ['театрдзауты', 'театрдзаутӕ', 4, 'театрдзаутæ']
б/щ 4|0.001 3 ['сообщил', 4, '"общероссийский']
т/т/дж 4|0.001 3 ['арæнсæттджыты', 4, 'цыттджын']
з/ц 4|0.001 3 ['образцовайы', '"образцовый', 4]
б/ж 4|0.001 3 ['обж,', 4, '"абжьыуаа"']
хъ/хъ/т 4|0.001 5 ['басылыхъхътӕ.', 4, 'ирӕттӕ-хъазахъхъты', 'хъазахъхъты', 'хъазахъхътӕ,']
н/дз/х 4|0.001 4 ['чындзхӕсджыты', 4, 'чындзхӕссӕг,', 'чындзхӕсджытӕ']
к/в/т 4|0.001 5 [4, 'квт-æн', 'квт-ӕн', 'квт-тæн', 'квт']
р/х/м 4|0.001 5 [4, 'тæрхмедэксперт', 'тӕрхмедэксперт', 'тӕрхмедэкспертмӕ.', 'тæрхмедэкспертмæ,']
гъ/н 4|0.001 3 ['агънаты', 'ӕгънаты', 4]
б/с/т/р 4|0.001 3 ['абстрактон', 4, 'нывгæнæг-абстракционист']
ф/р/х 4|0.001 3 ['æфрх-ы', 4, 'æфрх)']
р/с/дз 4|0.001 5 ['фæтæрсдзæн', 4, 'æнæфарсдзырдæй', 'баххуырсдзысты', 'фæтæрсдзысты']
дж/в/р 4|0.001 5 ['меджврисхеви,', 4, 'меджврисхеви', 'меджврисхелийы', 'меджврисхевийы']
с/ф/х 4|0.001 4 ['(сфх)', 'сфх', 4, 'сфх-ы']
в/з/в 4|0.001 5 ['взводты', 'взводы', 4, 'взводтӕн', 'взводмæ.']
в/д/г 4|0.001 5 [4, 'тæвдгæнæнтæй', 'тæвдгæнæнтæй,', 'адавдгонд', 'ӕвдгай']
р/м/т 4|0.001 5 [4, 'уæрмтæ', 'æрмтохы', 'æрмтохгæнджытæн,', 'армтохæй']
н/ш/т 4|0.001 3 ['генштабæй.', 4, 'генштабы']
н/щ 4|0.001 5 [4, 'айриянщепкины', 'луганщинӕйы', 'женщины"', 'женщины",']
с/т/х 4|0.001 5 [4, 'æвзистхуыз', 'бӕстхайы.', 'мыстхуыз', 'фæстхæст']
п/с/к 4|0.001 3 ['псков,', 4, 'псковаг']
н/к/ф/с 4|0.001 3 ['нкфс', '(нкфс)', 4]
ф/ц/г 4|0.001 5 [4, 'ӕфцгуытӕ,', 'æфцгуыты', 'æфцгуытæ', 'æфцгуытыл']
в/д/ф 4|0.001 2 ['авдфатон', 4]
ш/м 4|0.001 4 ['башметæн', 4, 'шмиды', 'финишмӕ']
ц/к/м 4|0.001 4 ['донецкмæ', 4, 'донецкмӕ', 'донецкмӕ,']
к/т/к 4|0.001 5 ['"спекткалы', 4, 'проекткӕнынады', 'проекткӕнынадӕн.', 'проекткӕнынадыл.']
л/д/ф 4|0.001 3 ['зæлдфæлндыны', 'зæлдфæлындæн', 4]
в/къ 4|0.001 4 [4, 'архивкъацты', 'ковалевкъарджиаты', 'барановкъудухты']
р/ц/к 4|0.001 4 ['хварцкия,', 'хварцкиябибылты', 4, 'хварцкияабхазы']
ч/ф 4|0.001 2 ['астапковичфæбæрæг', 4]
х/ч/р 4|0.001 3 ['хчр-йы', 4, 'хчр']
к/п/р/ф 4|0.001 4 ['кпрф,', '"кпрф",', 4, '"кпрф"']
р/ц/б 4|0.001 2 ['бæрцбарст', 4]
м/т/т/т 4|0.001 2 [4, 'нæмтттæ']
с/к/л 3|0.0 4 ['«склепы', 'склады', 3, '"склифосовский"-йы']
к/й 3|0.0 2 [3, 'республикйы']
с/н/г 3|0.0 3 [3, '(снг),', 'снг,']
п/г 3|0.0 3 ['этапгай', 3, 'этапгай.']
р/т/л 3|0.0 4 ['тортладзеимӕ,', 3, 'тортладзе', '"спортлото"-йæ,']
п/п/т 3|0.0 3 ['ӕдӕппт', 3, 'цъупптæй']
р/г/р 3|0.0 3 ['интерграцион', 3, 'андерграунд-къордтæ,']
й/н/т 3|0.0 4 ['бассейнтӕ,', 3, 'фӕсарӕйнтӕй.', 'бассейнты']
в/г/р 3|0.0 4 [3, 'благоевграды,', '(димитровград,', 'ковалевгранатæ']
цъ/н 3|0.0 3 [3, 'цънелисы', 'цънелис,']
р/н/дж 3|0.0 3 [3, 'бæрнджын', 'бæрнджынæй']
р/ш/б 3|0.0 4 ['аршба,', 3, 'аршба', 'аршбайы']
л/м/т 3|0.0 4 ['хоргалмтӕ.', 'псалмтӕ', 3, 'холгалмтӕ.']
с/т/п/р/г/р 3|0.0 3 [3, 'инвестпрграммæмæ', 'инвестпрграммӕмӕ']
д/д/д 3|0.0 4 [3, 'хъуыдддӕгты', 'хæрзадддæр', 'хъуыдддаг,']
къ/н 3|0.0 2 ['къниаз', 3]
р/ф/м 3|0.0 4 ['арфмӕ",-', 'арфмæ', 3, 'арфмӕ.']
к/ш/н 3|0.0 3 ['экшн', 3, 'продакшн"']
г/къ 3|0.0 3 [3, 'фыццагкъурсонтимæ', 'фыццагкъурсонты']
л/д/п 3|0.0 4 ['улдп-йы', 3, 'лдп.', 'улдп']
л/тъ 3|0.0 3 ['элтъура,', 3, 'малтъызты']
т/й 3|0.0 4 ['зæгъотй', 3, 'зæгъотйы', 'хъатйарты']
в/с/т/в 3|0.0 3 ['ведовствойы', '"здравствуй,', 3]
н/ц/дз 3|0.0 3 ['бахынцдзысты', 'бахынцдзыстӕм', 3]
л/гъ/д 3|0.0 3 ['æбуалгъдæр', 3, 'ӕбуалгъдӕр']
р/з/гъ 3|0.0 3 ['хӕрзгъӕд', 3, 'хӕрзгъӕддзинад']
л/дз/б 3|0.0 4 ['тулдзбӕлас.', 'тулдзбӕласы', 3, 'сывылдзбæлас']
с/м/м 3|0.0 3 ['уысммӕ', 3, 'уысммæ']
п/т/м 3|0.0 2 ['рецептмæ', 3]
с/р/к/р 3|0.0 3 ['(сркр)', 3, 'сркр-йы']
п/р/ф 3|0.0 4 ['прфилактивон', 3, 'прфессионалон', 'прфилактикон']
с/к/м 3|0.0 4 ['обелискмæ,', 'тамискмæ', 'пропускмæ', 3]
м/в/т 3|0.0 4 ['гэс-8мвт', 3, 'гэс-8мвт,', 'мвт,']
р/х/б 3|0.0 3 ['рхб', 3, 'рхб-йы']
р/гъ/б 3|0.0 3 ['даргъбазæйон', 3, 'дыргъбæлæстæн']
к/в/н 3|0.0 3 ['квн"-ы.', 3, 'квн"-ы']
н/к/дж 3|0.0 2 ['æууæнкджын', 3]
м/т/ш 3|0.0 3 [3, 'ми-8амтш', 'ми-8амтш-æй']
б/р/ц 3|0.0 2 [3, 'брциты']
р/т/с 3|0.0 4 ['ӕвзӕртсагъоммӕ', '"авиадартс"-ы', 3, 'басгæртсы']
т/с/т/в 3|0.0 3 ['детства".', 3, 'братство".']
н/д/р/м 3|0.0 3 [3, 'александрмæ,', 'александрмæ']
н/дз/г 3|0.0 4 ['тындзгӕйӕ', 3, 'фæндзгай', 'фӕндзгай']
с/ф/р 3|0.0 3 [3, 'фæсфронты,', 'фӕсфронты']
с/дж/т 3|0.0 3 ['къамисджты', 3, 'кусджтæ']
й/ч 3|0.0 4 ['æйчытæ', 3, 'воскресенскийчерчесты', 'галгайче"-ы']
д/т/п/р 3|0.0 2 [3, 'ӕрсидтпресс-служба']
г/п/р 3|0.0 4 ['нарæгпрофилон', 3, 'æрдæгпрофессионалон', 'ӕрдӕгпрофессионалон']
к/с/т/м 3|0.0 3 ['текстмæ', 3, 'текстмӕ']
к/г/б/х 3|0.0 2 ['кгбхуссар', 3]
р/т/с/къ 3|0.0 4 ['спортскъолатӕ', 3, 'спортскъолайы.', 'спортскъолайы']
м/ш 3|0.0 3 ['намшуридзе', 3, 'джимшер']
п/ц/ц 3|0.0 3 [3, '"пцц-ы', 'пцц-ы']
гъ/дж 3|0.0 4 ['æврагъджын', 3, 'мигъджын', 'альпинисттæ-къахдзоныгъджынты']
с/х/ф 3|0.0 3 ['усхф', 3, '(усхф)']
р/ф/р/х 3|0.0 2 [3, 'рфрхи']
р/ф/ц 3|0.0 2 [3, 'рфцӕгат']
д/дз/х 3|0.0 3 ['паддзхахады', 3, 'паддзхадон']
л/д/в 3|0.0 3 ['сбӕлдвырд', 3, '′сбæлдвырд']
в/д/д 3|0.0 4 ['æвддæс', 3, 'ӕвддӕсӕм.', 'æвддæсæм']
п/п/к/з 3|0.0 2 [3, 'ппкз']
й/н/т/б 3|0.0 3 ['пейнтболæй,', 3, 'пейнтболæй']
к/ц/х 3|0.0 3 [3, 'кривобокцхинвалы', 'кривобокцхинвайлаг']
р/ц/х 3|0.0 3 ['фарцхӕцджытӕ', 'фарцхӕцджыты', 3]
з/д/м 3|0.0 3 [3, 'мыздмæ', 'съездмӕ']
м/х/г 3|0.0 2 ['мхгу-йы', 3]
б/х/ц 3|0.0 3 ['бхц-ы', 3, 'бхц']
в/б/р 3|0.0 2 ['бекоевбренд', 3]
с/д/с 3|0.0 3 [3, 'усдс', '(усдс)']
н/ш/л 3|0.0 2 [3, 'тадтаеваншлаг']
н/с/ц 3|0.0 3 ['инсценировкæтæ.', 3, 'мизансценæты']
р/с/т/п/р 3|0.0 2 ['ӕвзӕрстпресс-служба', 3]
р/в/гъ 3|0.0 3 ['æрвгъуыз', 3, '"æрвгъуыз']
й/т/дз 3|0.0 2 [3, 'сайтдзæуджыхъæуы']
с/г/в 3|0.0 3 [3, 'росгварди', 'росгвардияйы']
л/д/п/р 3|0.0 3 ['лдпр,', 3, '"лдпр"-ы']
з/хъ 3|0.0 3 ['уæзхъусты', 3, 'уæзхъус']
р/дз/г 3|0.0 3 ['бахардзгонд', 3, 'хардзгæнæн']
н/ч/х 3|0.0 3 ['пхенчханы', 'пхенчханмӕ', 3]
гъ/д/хъ 3|0.0 4 ['сыгъдхъæустæ.', 'сыгъдхъæстæйæ.', 3, 'сыгъдхъæстæйы']
ф/ф/с 3|0.0 2 ['æффсæддон', 3]
н/т/р/х 3|0.0 2 [3, 'центрхуссар']
м/б/л/б 3|0.0 2 ['"бамблби', 3]
л/д/р 2|0.0 3 [2, 'фылдрӕн', 'иууылдр']
л/н/ц 2|0.0 3 ['солнца".', '"солнце', 2]
ф/с/дз 2|0.0 3 [2, 'ныфсдзинад,', 'ирхӕфсдзысты']
в/з/р/с/т 2|0.0 2 ['ӕвзрстыты', 2]
д/т/ф 2|0.0 3 ['бадтфӕразонтӕдӕр.', 2, 'бадтфæразон']
ц/с/т/р 2|0.0 3 [2, 'спецстрой"-ы', '"спецстрой"-йы']
п/дж 2|0.0 3 ['фӕаипджын.', 2, 'аипджын']
г/с/с/р 2|0.0 3 ['гсср,', 2, 'гсср-ы']
р/б/к 2|0.0 2 [2, 'ӕрбкодта']
п/р/в 2|0.0 3 [2, 'првокаций', 'првокацийы']
с/т/т/д 2|0.0 3 ['ӕрмӕсттдӕр', 2, 'расттдӕр.']
ф/т/п/р 2|0.0 2 ['"югосетнефтпродукт"-ы', 2]
с/с/дж 2|0.0 3 [2, 'рафыссджытӕн', 'уацхæссджытæ']
п/п/м 2|0.0 3 [2, 'дзуаппмӕ",', 'дзыппмæ']
й/д/гъ 2|0.0 2 [2, 'ӕфснайдгъуыз']
л/п/д/р 2|0.0 3 ['лпдр', 2, 'лпдр-æй']
м/м/к 2|0.0 3 [2, 'коммкоммӕ', 'коммкоммæ:']
н/т/н 2|0.0 3 [2, 'центнеры.', 'центнеры']
р/с/тъ 2|0.0 3 [2, 'цыппарстъалыйон', 'суперстъалытæ.']
т/з 2|0.0 3 [2, 'æппæтзонæг', '"заготзерно"-йы']
чъ/р 2|0.0 3 ['"начърепайы', 2, 'начърепайы']
р/з/н 2|0.0 2 ['хæрзном', 2]
к/р/ц 2|0.0 2 ['"крцаниси"-йы', 2]
гъ/гъ 2|0.0 3 ['ӕгъгъӕд', 2, 'ӕгъгъӕдыл.']
м/б/р 2|0.0 3 ['сомбреротӕ,', 2, 'тембрæй.']
р/г/б 2|0.0 3 [2, 'бæргбонон', 'бӕргбоны']
р/с/л 2|0.0 3 ['арслан;', 2, 'фарслæуджытæ']
ш/б 2|0.0 3 ['"эшби"15:45', 2, '"эшби"19:30']
з/м/м 2|0.0 3 ['организммӕ.', 2, 'организммæ']
ш/г 2|0.0 3 [2, 'джошгун', 'вышгороды']
р/б/т 2|0.0 2 [2, 'гербтыл.']
м/р/с/к 2|0.0 3 ['"мрск"-йы', 2, '"мрск']
л/м/б 2|0.0 2 ['хъуылмбегты', 2]
з/д/р 2|0.0 2 [2, '"здравствуй,']
в/щ 2|0.0 2 ['бомбардировщик', 2]
н/з/м 2|0.0 3 ['цензмæ"', 2, 'цензмæ",']
з/ж 2|0.0 3 ['уазжытӕ', 2, 'чызжытæ.']
н/к/д 2|0.0 3 ['ӕууӕнкдӕтджытӕ,', 2, 'æууæнкдар']
б/л/т 2|0.0 2 ['тыблты', 2]
з/в/р 2|0.0 3 ['возвращение', 2, '"возвращение']
н/с/р 2|0.0 3 [2, 'реконсрукцийæн.', 'трансрегионалон']
н/д/п/р 2|0.0 3 [2, 'бӕрзондпрофессионалон', 'бæрзондпрофессионалон']
къ/м 2|0.0 3 [2, 'рукъмӕ.', 'рукъмæ.']
ф/хъ 2|0.0 3 [2, 'фхъусын', 'кӕфхъуындар,']
х/ч 2|0.0 3 [2, '"фенербахче"', 'бахчисарайы']
х/с/ч 2|0.0 2 [2, 'уæхсчытыл']
р/тъ 2|0.0 3 ['ортъеу,', 'къартъоф', 2]
р/ц/м 2|0.0 2 [2, 'бæрцмæ']
п/в 2|0.0 2 [2, 'дипведомствӕйы']
в/з/с 2|0.0 3 [2, 'æвзсит', 'ӕвзсит.']
й/с/к/м 2|0.0 3 ['"бобруйскмæ', 2, 'новороссийскмæ.']
з/б/р 2|0.0 2 ['"избранные', 2]
н/дз/л 2|0.0 2 [2, 'фондзлитрон']
х/ш 2|0.0 3 ['"пыхшыл', 2, '"пыхшыл",']
р/щ 2|0.0 3 ['пресс-подборщик,', 2, 'прапорщик']
н/р/с 2|0.0 3 [2, '(æнрс)', 'æнрс-ы']
й/з/д 2|0.0 3 ['рацæйздæхтысты', 2, 'рацæйздæхгæйæ,']
гъ/л 2|0.0 2 [2, 'хыгълæвæрды']
т/ч/м 2|0.0 3 ['матчмæ', 2, 'матчмӕ,']
х/с/к 2|0.0 3 ['′уӕхск,', 2, 'уæхск']
л/н/р 2|0.0 2 ['лнр".', 2]
с/с/г 2|0.0 2 [2, 'ссг-ы']
й/м/дж 2|0.0 2 ['адæймджы', 2]
с/т/с/т 2|0.0 2 [2, 'нонконформистстон']
д/с/л 2|0.0 3 ['мидслужбæйон', 2, 'мидслужбӕйы']
ц/ц/м 2|0.0 2 [2, 'еццм']
р/к/л 2|0.0 2 [2, 'марклены']
й/м/г 2|0.0 3 ['сылгоймгаг', 2, 'сылгоймг']
п/къ 2|0.0 3 [2, 'скърипкъæдзæгъдджыты', 'скърипкъӕдзӕгъдӕг']
м/к/к/к/с 2|0.0 2 ['мккксырх', 2]
